address,status,borough,longitude,latitude,spc_common,spc_latin
4724 KINGS HWY,Fair,Brooklyn,-73.930938,40.631634,"maple, norway",acer platanoides
484 LIBERTY AV,Fair,Brooklyn,-73.891955,40.675078,"maple, norway",acer platanoides
137-036 96 ST,Good,Queens,-73.84011,40.671992,"elm, american",ulmus americana
500 W 167 ST,Fair,Manhattan,-73.937323,40.839306,honeylocust,gleditsia triacanthos
88-016 207 ST,Fair,Queens,-73.758474,40.721329,"oak, pin",quercus palustris
233-074 87 AV,Fair,Queens,-73.733689,40.730973,"ash, green",fraxinus pennsylvanica
2672 DOUGLASS BLVD,Fair,Manhattan,-73.943271,40.820988,london planetree,platanus acerifolia
203-015 120 AV,Good,Queens,-73.733828,40.687525,"maple, norway",acer platanoides
33-017 110 ST,Fair,Queens,-73.859294,40.757612,"maple, norway",acer platanoides
167 W 143 ST,Fair,Manhattan,-73.939078,40.819942,ginkgo,ginkgo biloba
285 E 59 ST,Fair,Brooklyn,-73.921208,40.647089,"oak, pin",quercus palustris
15 STACK DR,Fair,Staten Island,-74.198494,40.547659,honeylocust,gleditsia triacanthos
