address,status,spc_latin,spc_common,boroname,latitude,longitude
207-05 26 AVENUE,Good,fraxinus pennsylvanica,"ash, green",Queens,40.77585392,-73.78558306
18 HARMAN STREET,Fair,prunus species,"cherry, other",Brooklyn,40.69391676,-73.9247402
45 WEST   73 STREET,Good,fraxinus pennsylvanica,"ash, green",Manhattan,40.77746186,-73.97677271
9502 FT HAMILTON PARKWAY,Fair,platanus acerifolia,london planetree,Brooklyn,40.61467378,-74.02953511
1114 143 PLACE,Fair,liquidambar styraciflua,sweetgum,Queens,40.78819364,-73.82591697
99-69 65 ROAD,Good,tilia cordata,"linden, little leaf",Queens,40.72931126,-73.85410169
1869 85 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.60695647,-74.0005078
147-66 COOLIDGE AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.71497902,-73.81128592
890 WEST END AVENUE,Fair,ginkgo biloba,ginkgo,Manhattan,40.80001094,-73.9697253
111-10 MERRICK BOULEVARD,Fair,quercus palustris,"oak, pin",Queens,40.69422207,-73.78126217
1193 EAST    9 STREET,Poor,ginkgo biloba,ginkgo,Brooklyn,40.62023632,-73.96626594
26-02 163 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.77315108,-73.80130794
21864 HARTLAND AVENUE,Good,acer platanoides,"maple, norway",Queens,40.73532685,-73.75235764
1724 OCEAN PARKWAY,Fair,tilia americana,"linden, american",Brooklyn,40.6064824,-73.96712282
198 KENT STREET,Good,tilia americana,"linden, american",Brooklyn,40.73105457,-73.95272624
133 TALLMAN STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.53463506,-74.17113814
45 WITHERS STREET,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.716729,-73.95110588
60-44 60 STREET,Poor,acer platanoides,"maple, norway",Queens,40.71540544,-73.90595805
13 HUDSON STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.71633553,-74.00919871
255 9 STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.66999809,-73.98799592
93-30 QUEENS BOULEVARD,Good,gleditsia triacanthos,honeylocust,Queens,40.73140349,-73.86598598
1965 LINDEN BOULEVARD,Fair,platanus acerifolia,london planetree,Brooklyn,40.659027,-73.88959499
400 WEST   37 STREET,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.7553305,-73.9950334
3308 EDSON AVENUE,Good,tilia cordata,"linden, little leaf",Bronx,40.87744978,-73.83767782
388 NEW YORK AVENUE,Good,acer saccharinum,"maple, silver",Brooklyn,40.66594395,-73.94809721
1259 EASTERN PARKWAY,Fair,ulmus americana,"elm, american",Brooklyn,40.66856732,-73.9267334
271-16 77 ROAD,Fair,acer platanoides,"maple, norway",Queens,40.75249535,-73.70355729
1221 EAST   54 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.62783838,-73.92391768
2474 FOREST AVENUE,Fair,tilia cordata,"linden, little leaf",Staten Island,40.62763172,-74.17124331
7602 21 AVENUE,Fair,ailanthus altissima,tree of heaven,Brooklyn,40.60882252,-73.99029749
7123 19 AVENUE,Good,tilia cordata,"linden, little leaf",Brooklyn,40.61427654,-73.99176624
77 VERA STREET,Fair,acer rubrum,"maple, red",Staten Island,40.5842815,-74.09748992
1983 SOUTHERN BOULEVARD,Fair,quercus phellos,"oak, willow",Bronx,40.84334114,-73.88554837
2050 SOUTH SERVICE ROAD,Fair,acer rubrum,"maple, red",Staten Island,40.5265239,-74.21964947
1184 LYDIG AVENUE,Good,acer platanoides,"maple, norway",Bronx,40.85597132,-73.85319123
304 HENRY STREET,Poor,platanus acerifolia,london planetree,Brooklyn,40.6909248,-73.99616326
3020 BAINBRIDGE AVENUE,Fair,acer rubrum,"maple, red",Bronx,40.87189717,-73.88295733
92-31 175 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.70752866,-73.78559725
116-02 219 STREET,Fair,tilia tomentosa,"linden, silver",Queens,40.69681031,-73.74028619
470 WEST END AVENUE,Fair,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.78672859,-73.97942367
154-04 24 ROAD,Fair,acer palmatum,"maple, japanese",Queens,40.77601592,-73.80902603
3472 KNOX PLACE,Poor,fraxinus pennsylvanica,"ash, green",Bronx,40.88249704,-73.88281932
1001 EAST  164 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83070378,-73.92432531
4384 MARTHA AVENUE,Fair,malus pumila,apple,Bronx,40.90176788,-73.86555927
28-16 172 STREET,Fair,quercus palustris,"oak, pin",Queens,40.77126772,-73.79324088
100 CABRINI BOULEVARD,Fair,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.85183602,-73.94003238
3 ST AUSTINS PLACE NORTH,Good,acer platanoides,"maple, norway",Staten Island,40.63717876,-74.10723781
3324 93 STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.75592979,-73.87502532
150-01 61 ROAD,Fair,prunus species,"cherry, other",Queens,40.73953862,-73.81950892
167 WOODROW ROAD,Fair,pyrus calleryana,"pear, callery",Staten Island,40.56060327,-74.18042873
93-16 86 AVENUE,Good,quercus palustris,"oak, pin",Queens,40.69549901,-73.85235093
741 SINCLAIR AVENUE,Good,fraxinus pennsylvanica,"ash, green",Staten Island,40.54081288,-74.20044782
3277 POLO PLACE,Fair,prunus species,"cherry, other",Bronx,40.84000942,-73.81932307
145 CARROLL PLACE,Poor,platanus acerifolia,london planetree,Staten Island,40.64688573,-74.08221932
673 EVERGREEN AVENUE,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.6869891,-73.90967959
165-03 67 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.73489883,-73.8037097
108-02 62 AVENUE,Fair,ulmus species,"elm, other",Queens,40.73727242,-73.85087271
1720 51 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.62811217,-73.98368397
259 WYCKOFF STREET,Good,robinia pseudoacacia,black locust,Brooklyn,40.6833262,-73.98379305
3488 BROADWAY,Fair,quercus palustris,"oak, pin",Manhattan,40.8247951,-73.95163349
67-11 UTOPIA PARKWAY,Fair,zelkova serrata,"zelkova, japanese",Queens,40.73445505,-73.79322521
36 PALMIERI LANE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.51573303,-74.20838567
246-08 86 AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.73150102,-73.72129827
228-22 49 ROAD,Fair,prunus cerasifera,"plum, purpleleaf",Queens,40.75768672,-73.75413345
1126 53 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.6349945,-73.99811927
90-20 SHORE PARKWAY SR,Fair,catalpa,catalpa,Queens,40.66466313,-73.84326004
1613 FOWLER AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.84421996,-73.85654592
705 CROTONA PARK NORTH,Good,zelkova serrata,"zelkova, japanese",Bronx,40.84205907,-73.89386313
5319B 54 AVENUE,Fair,celtis occidentalis,hackberry,Queens,40.73244555,-73.92525401
145 VANDERBILT AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.69382766,-73.96995743
3987 RICHMOND AVENUE,Fair,robinia pseudoacacia,black locust,Staten Island,40.54102992,-74.16206988
47-14 111 STREET,Fair,acer rubrum,"maple, red",Queens,40.74731338,-73.85352091
2441 FISH AVENUE,Good,acer platanoides,"maple, norway",Bronx,40.8617852,-73.84730365
1730 MONTGOMERY AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.85042306,-73.91854842
280 PARKSIDE AVENUE,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.65568562,-73.95899305
539 TENNYSON DRIVE,Fair,gleditsia triacanthos,honeylocust,Staten Island,40.53252544,-74.15281827
67-29 CENTRAL AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.70341768,-73.88619254
28 KEUNE COURT,Fair,gleditsia triacanthos,honeylocust,Staten Island,40.60159141,-74.09929415
182 SOMMER AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.6081962,-74.1691262
2111 ELK DRIVE,Fair,platanus acerifolia,london planetree,Queens,40.59887212,-73.75604703
88 CENTRAL PARK WEST,Good,quercus palustris,"oak, pin",Manhattan,40.77419027,-73.977449
1202 AVENUE I,Fair,liquidambar styraciflua,sweetgum,Brooklyn,40.62727342,-73.96447193
819 GRAND STREET,Poor,styphnolobium japonicum,japanese pagoda tree,Brooklyn,40.7120496,-73.94036014
1193 EAST   12 STREET,Fair,tilia tomentosa,"linden, silver",Brooklyn,40.62055382,-73.96334442
2051 WESTCHESTER AVENUE,Poor,ulmus americana,"elm, american",Bronx,40.83373469,-73.85617102
2230 FULTON STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.67807489,-73.90725451
740 CRANFORD AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.90332571,-73.84908569
150 CONVENT AVENUE,Good,pyrus calleryana,"pear, callery",Manhattan,40.81832828,-73.95102039
68-12 150 STREET,Fair,platanus acerifolia,london planetree,Queens,40.73238893,-73.81977003
62-05 WOODHAVEN BOULEVARD,Fair,gleditsia triacanthos,honeylocust,Queens,40.72692928,-73.87055899
34-56 112 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.7564576,-73.85685765
1673 51 STREET,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.62894677,-73.98502394
90-05 153 STREET,Poor,acer platanoides,"maple, norway",Queens,40.70414533,-73.80304285
17214 35 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.76467586,-73.79381728
9454 120 STREET,Fair,fraxinus species,"ash, other",Queens,40.69333024,-73.8264892
3322 CHURCH AVENUE,Good,ailanthus altissima,tree of heaven,Brooklyn,40.65095666,-73.94637544
1688 LINDEN STREET,Fair,acer platanoides,"maple, norway",Queens,40.70214106,-73.91073743
1023 BEVERLY ROAD,Fair,acer platanoides,"maple, norway",Brooklyn,40.64380128,-73.96967006
205 RENO AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.56537119,-74.1165992
962 PARK AVENUE,Good,pyrus calleryana,"pear, callery",Manhattan,40.7778384,-73.95892504
1236 EAST   55 STREET,Good,ginkgo biloba,ginkgo,Brooklyn,40.62687153,-73.92289567
335 WASHINGTON AVENUE,Fair,acer platanoides,"maple, norway",Brooklyn,40.6887542,-73.96592478
118-18 221 STREET,Fair,fraxinus americana,"ash, white",Queens,40.69285519,-73.74033405
149 CANAL STREET,Good,ginkgo biloba,ginkgo,Manhattan,40.71612997,-73.99583354
69-06 UTOPIA PARKWAY,Fair,acer platanoides,"maple, norway",Queens,40.73253407,-73.79342241
121-40 236 STREET,Fair,acer platanoides,"maple, norway",Queens,40.68402278,-73.72973912
1822 LINDEN STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.70403069,-73.90880894
66 DOWNES AVENUE,Fair,gleditsia triacanthos,honeylocust,Staten Island,40.53808267,-74.18178184
2204 LIGHT STREET,Poor,acer platanoides,"maple, norway",Bronx,40.88784131,-73.83201048
223-19 130 AVENUE,Good,acer platanoides,"maple, norway",Queens,40.68355958,-73.74321144
259 NEAL DOW AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.61743278,-74.1357591
84-01 169 STREET,Fair,quercus rubra,"oak, northern red",Queens,40.71593771,-73.79565267
20-49 26 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.78099755,-73.91043312
213-15 29 AVENUE,Good,gleditsia triacanthos,honeylocust,Queens,40.77520643,-73.77563451
1499 UNION STREET,Fair,prunus species,"cherry, other",Brooklyn,40.66841376,-73.94136883
2011 BERGEN STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.67416084,-73.91433667
2260 BARKER AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.8593669,-73.86949145
45-10 164 STREET,Fair,acer saccharinum,"maple, silver",Queens,40.75557072,-73.80276446
6057 CATALPA AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.70350503,-73.89735856
2950 MILTON PLACE,Good,quercus palustris,"oak, pin",Bronx,40.81703138,-73.81461294
243 88 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.62237747,-74.03300029
3420 AVENUE H,Fair,taxodium distichum,baldcypress,Brooklyn,40.63190641,-73.94338603
190-11 NERO AVENUE,Good,zelkova serrata,"zelkova, japanese",Queens,40.72065514,-73.77462044
133-47 SANFORD AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.75590571,-73.83043019
8934 97 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.69199295,-73.8473896
1718 EAST   26 STREET,Poor,liquidambar styraciflua,sweetgum,Brooklyn,40.60875048,-73.94733493
7101 6 AVENUE,Fair,crataegus species,"hawthorn, other",Brooklyn,40.63096358,-74.01908001
218-17 101 AVENUE,Fair,acer rubrum,"maple, red",Queens,40.71437582,-73.73740049
159 DIVISION AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.70762051,-73.96202693
255-19 87 DRIVE,Good,acer platanoides          crimson king,"maple, norway-cr kng",Queens,40.7280622,-73.71032994
34-37 84 STREET,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.75280637,-73.88296084
358 ATLANTIC AVENUE,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.68752878,-73.98639901
173-05 113 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.69311108,-73.77730633
2881 ROOSEVELT AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.82544967,-73.82171484
1535 EAST   98 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63629323,-73.89094049
15 GRAVES STREET,Fair,liquidambar styraciflua,sweetgum,Staten Island,40.60521421,-74.12991089
138-24 102 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.69367768,-73.81012013
121 FRANKLIN AVENUE,Good,platanus acerifolia,london planetree,Staten Island,40.64258823,-74.0919791
233-84 88 AVENUE,Poor,gleditsia triacanthos,honeylocust,Queens,40.73038966,-73.73299321
1066 EAST   99 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.6420346,-73.89608386
2202 TONSOR STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.71230471,-73.90874831
137-28 173 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.67272011,-73.76759408
23-03 149 STREET,Fair,acer platanoides,"maple, norway",Queens,40.77806337,-73.81741501
31-34 51 STREET,Fair,platanus acerifolia,london planetree,Queens,40.75614761,-73.90815646
70-39 LOUBET STREET,Fair,platanus acerifolia,london planetree,Queens,40.71315419,-73.85086535
258 WEST   10 STREET,Fair,ginkgo biloba,ginkgo,Manhattan,40.73366885,-74.00674026
430 OCEAN PARKWAY,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.63792012,-73.97336951
108-10 109 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.6795673,-73.83160856
111-53 146 STREET,Fair,tilia americana,"linden, american",Queens,40.68716582,-73.79809901
306 JEFFERSON STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70435057,-73.92620717
115-55 140 STREET,Fair,platanus acerifolia,london planetree,Queens,40.68096969,-73.80216668
65 WEST   90 STREET,Good,ginkgo biloba,ginkgo,Manhattan,40.78858998,-73.96917436
102-14 AVENUE M,Good,platanus acerifolia,london planetree,Brooklyn,40.61643136,-73.97426416
200 WATCHOGUE ROAD,Good,styphnolobium japonicum,japanese pagoda tree,Staten Island,40.6157417,-74.13599698
158-36 73 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.72720023,-73.81053333
1056 5 AVENUE,Fair,ulmus americana,"elm, american",Manhattan,40.78210684,-73.95998763
4076 BAYCHESTER AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.89241907,-73.84345724
6-04 128 STREET,Fair,quercus palustris,"oak, pin",Queens,40.79134839,-73.83989209
318 LORETTO STREET,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.50286319,-74.23903238
4159 DE REIMER AVENUE,Fair,ulmus parvifolia,"elm, chinese",Bronx,40.8945186,-73.84333655
323A WINTHROP STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.65716666,-73.94925015
126-28 150 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.67274059,-73.78815687
1055 EAST   57 STREET,Good,acer platanoides,"maple, norway",Brooklyn,40.62733684,-73.92097499
111-88 43 AVENUE,Good,acer rubrum,"maple, red",Queens,40.74972963,-73.85420133
391 CLINTON STREET,Good,quercus palustris,"oak, pin",Brooklyn,40.68305559,-73.99781505
254 BEDFORD AVENUE,Good,tilia tomentosa,"linden, silver",Brooklyn,40.71554676,-73.96019352
1846 BRUNER AVENUE,Good,quercus palustris,"oak, pin",Bronx,40.89599116,-73.84865802
83-11 139 STREET,Poor,platanus acerifolia,london planetree,Queens,40.71248625,-73.81952085
340 WEST   85 STREET,Fair,ginkgo biloba,ginkgo,Manhattan,40.78865265,-73.97945196
14923 8 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.79360938,-73.81728931
141-39 243 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.66317962,-73.7371731
630 CASTLE HILL AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.81966049,-73.84816625
5965 54 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.7156502,-73.91356911
10 LYMAN PLACE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.60497118,-74.09495239
99 HURON STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.73279653,-73.95730024
1910 BARTOW AVENUE,Poor,acer rubrum,"maple, red",Bronx,40.86791277,-73.83438925
220 BURGHER AVENUE,Poor,pyrus calleryana,"pear, callery",Staten Island,40.59211226,-74.09099502
133-44 121 STREET,Good,platanus acerifolia,london planetree,Queens,40.67170563,-73.81856414
66-20 108 STREET,Fair,platanus acerifolia,london planetree,Queens,40.72971503,-73.84795627
336 LIVERMORE AVENUE,Poor,acer platanoides,"maple, norway",Staten Island,40.61537287,-74.13915148
820 THIERIOT AVENUE,Fair,ulmus parvifolia,"elm, chinese",Bronx,40.82215382,-73.86217208
466 3 AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.67127745,-73.99118602
29 MIMOSA LANE,Fair,liquidambar styraciflua,sweetgum,Staten Island,40.55199825,-74.19873252
610 WEST  112 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.80559546,-73.96612504
125 LINWOOD AVENUE,Good,prunus species,"cherry, other",Staten Island,40.59413236,-74.07170863
108-44 52 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.74363562,-73.85368057
2783 EAST   15 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.58371509,-73.95352537
215-20 HOLLIS AVENUE,Fair,zelkova serrata,"zelkova, japanese",Queens,40.71009245,-73.74280624
204-14 104 AVENUE,Fair,liquidambar styraciflua,sweetgum,Queens,40.70969363,-73.75500662
247-04 87 DRIVE,Fair,pyrus calleryana,"pear, callery",Queens,40.72957796,-73.71945899
135-05 246 STREET,Fair,prunus cerasifera,"plum, purpleleaf",Queens,40.67043296,-73.7295779
303 SLEIGHT AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.50996295,-74.24218288
7 SOUTH GREENLEAF AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.62359196,-74.12624347
87-57 252 STREET,Good,acer platanoides,"maple, norway",Queens,40.72888593,-73.71373956
1005 ROGERS PLACE,Good,gleditsia triacanthos,honeylocust,Bronx,40.82096019,-73.89786452
10114 124 STREET,Poor,acer platanoides,"maple, norway",Queens,40.69081142,-73.8216854
24-29 82ND STREET,Good,acer saccharinum,"maple, silver",Queens,40.76414064,-73.88691906
373 WHITMAN DRIVE,Poor,populus tremuloides,quaking aspen,Brooklyn,40.60671627,-73.90767056
491A MADISON STREET,Good,acer saccharum,"maple, sugar",Brooklyn,40.6862117,-73.937697
1223 EAST  105 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.64222811,-73.88875798
679 EAST   79 STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.63698416,-73.91622916
228 MONAHAN AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.5907556,-74.15357803
63-15 TRAFFIC AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.71111165,-73.8983424
2850 OCEAN PARKWAY,Fair,ginkgo biloba,ginkgo,Brooklyn,40.58094764,-73.96747739
545 GREAVES AVENUE,Fair,ginkgo biloba,ginkgo,Staten Island,40.5656209,-74.15395215
360 81 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.62649073,-74.0270222
236-02 UNION TURNPIKE,Good,prunus cerasifera,"plum, purpleleaf",Queens,40.7381088,-73.73574806
5625 POST ROAD,Good,ulmus parvifolia,"elm, chinese",Bronx,40.9038838,-73.89742171
45-58 PARSONS BOULEVARD,Good,platanus acerifolia,london planetree,Queens,40.75453264,-73.81397477
85-04 31 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.75953115,-73.88310424
316 EAST  168 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83315423,-73.91227454
70-05 112 STREET,Fair,quercus palustris,"oak, pin",Queens,40.72420641,-73.83994516
81-59 260 STREET,Fair,acer platanoides,"maple, norway",Queens,40.74187578,-73.70999561
7 MASSACHUSETTS STREET,Good,prunus virginiana           shubert,"chokecherry, shubert",Staten Island,40.50348614,-74.25066724
3131 WHITNEY AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.5973906,-73.93310949
405 99 STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.61324833,-74.03283729
200 WILLOUGHBY AVENUE,Good,quercus palustris,"oak, pin",Brooklyn,40.69205556,-73.96395781
