address,status,spc_latin,spc_common,boroname,latitude,longitude
209-34 NASHVILLE BOULEVARD,Fair,aesculus hippocastanum,horsechestnut,Queens,40.6986324,-73.74376287
479 ATLANTIC AVENUE,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.68575777,-73.98179491
2620 AVENUE I,Good,acer platanoides,"maple, norway",Brooklyn,40.62877254,-73.95083167
5611 POST ROAD,Good,quercus palustris,"oak, pin",Bronx,40.90353522,-73.89741863
195-05 39 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.76212728,-73.78698455
316 BEACH   86 STREET,Fair,celtis occidentalis,hackberry,Queens,40.58957,-73.8114963
86-12 107 STREET,Good,prunus serrulata            kwanzan,"cherry, kwanzan",Queens,40.69733158,-73.8413368
411 OVINGTON AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.63347702,-74.02332129
53-01 JUNCTION BOULEVARD,Fair,acer platanoides,"maple, norway",Queens,40.73979827,-73.86712024
176-03 93 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.70665858,-73.78413928
220-21 HILLSIDE AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.73054327,-73.74382778
155 EAST   76 STREET,Fair,ginkgo biloba,ginkgo,Manhattan,40.7728131,-73.95983074
2 DORVAL AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.55874871,-74.17449645
83-27 COMMONWEALTH BOULEVARD,Fair,acer platanoides,"maple, norway",Queens,40.73554907,-73.72223396
146 LIVERMORE AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.62058681,-74.13784396
5729 BLEECKER STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.71074147,-73.90519633
512 EASTERN PARKWAY,Fair,ulmus americana,"elm, american",Brooklyn,40.66990617,-73.95154755
72-25 65 PLACE,Poor,acer rubrum,"maple, red",Queens,40.70081543,-73.88878645
444 HOPKINSON AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.66994993,-73.91376892
491 LIBERTY AVENUE,Fair,prunus species,"cherry, other",Brooklyn,40.67513803,-73.89161241
731 EAST  221 STREET,Fair,platanus acerifolia,london planetree,Bronx,40.88466031,-73.86097925
191-05 NERO AVENUE,Fair,acer palmatum,"maple, japanese",Queens,40.72120474,-73.77355073
108-27 35 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.7554846,-73.86022015
65 GREENFIELD AVENUE,Fair,acer platanoides,"maple, norway",Staten Island,40.61910386,-74.07275124
46 BANK STREET,Good,ulmus americana,"elm, american",Manhattan,40.73689134,-74.00329091
29 BOYNTON AVENUE,Fair,acer pseudoplatanus,"maple, sycamore",Staten Island,40.52635759,-74.20723535
241 TOMPKINS AVENUE,Good,prunus cerasifera,"plum, purpleleaf",Staten Island,40.61899477,-74.07592095
1314 BUSHWICK AVENUE,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.68630787,-73.91255066
83-04 267 STREET,Fair,quercus palustris,"oak, pin",Queens,40.74024548,-73.70249672
253 BRISTOL STREET,Good,zelkova serrata,"zelkova, japanese",Brooklyn,40.6649362,-73.91144325
572 WARREN STREET,Good,robinia pseudoacacia,black locust,Brooklyn,40.68188496,-73.98219618
161 CORBIN,Poor,liquidambar styraciflua,sweetgum,Staten Island,40.55957139,-74.14548804
1105 WILLOWBROOK ROAD,Fair,pyrus calleryana,"pear, callery",Staten Island,40.60332047,-74.13685759
2927 MOTT AVENUE,Good,gleditsia triacanthos,honeylocust,Queens,40.60949928,-73.76625829
91-23 220 STREET,Poor,acer platanoides,"maple, norway",Queens,40.72578434,-73.73915946
88-19 179 PLACE,Poor,acer platanoides,"maple, norway",Queens,40.71240476,-73.78340646
129-01 GUY R BREWER BOULEVARD,Good,quercus rubra,"oak, northern red",Queens,40.67717726,-73.77853844
5723 5 AVENUE,Fair,ginkgo biloba,ginkgo,Brooklyn,40.64100742,-74.01456799
92 ARGYLE ROAD,Good,prunus cerasifera,"plum, purpleleaf",Brooklyn,40.64721244,-73.96746671
2332 ADAM C POWELL BOULEVARD,Fair,gymnocladus dioicus,kentucky coffeetree,Manhattan,40.81636484,-73.9429401
46-28 245 STREET,Fair,acer saccharinum,"maple, silver",Queens,40.76419814,-73.74075263
136-65 ROOSEVELT AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.76020529,-73.82760727
1109 FR CAPODANNO BOULEVARD,Good,platanus acerifolia,london planetree,Staten Island,40.57046981,-74.09058039
2058 RYDER STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61022502,-73.92815523
64 NORTH MADA AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.63325076,-74.10746568
860 68 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.62976502,-74.01243637
69-50 HARROW STREET,Good,ulmus americana,"elm, american",Queens,40.71640712,-73.85115748
152 WESTMINSTER ROAD,Fair,catalpa,catalpa,Brooklyn,40.6452693,-73.96804422
102 WEST  116 STREET,Fair,quercus bicolor,"oak, swamp white",Manhattan,40.80229058,-73.95033508
920 5 AVENUE,Fair,ulmus americana,"elm, american",Manhattan,40.77302927,-73.96630046
626 WASHINGTON STREET,Fair,platanus acerifolia,london planetree,Manhattan,40.7315772,-74.00885443
24 RHETT AVENUE,Fair,quercus palustris,"oak, pin",Staten Island,40.55260764,-74.15196818
1 WARWICK AVENUE,Good,prunus species,"cherry, other",Queens,40.77884804,-73.75379895
3 EAST   63 STREET,Good,platanus acerifolia,london planetree,Manhattan,40.76662977,-73.97084154
36 WEST   91 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.78894651,-73.96814499
1277 EAST   86 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.63230689,-73.90214089
2065 EAST   33 STREET,Fair,carpinus betulus,"hornbeam, european",Brooklyn,40.60725766,-73.93228928
71-17 WOODSIDE AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.7426528,-73.89351627
92-01 69 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.71432997,-73.85380261
