status,spc_latin,spc_common,address,borough,latitude,longitude
Good,tilia cordata,littleleaf linden,205 WEBSTER AVENUE,Brooklyn,40.63192819,-73.97278721
Good,pyrus calleryana,callery pear,41 REVERE STREET,Staten Island,40.62864174,-74.09962138
Good,acer platanoides,norway maple,242-016 THORNHILL AVENUE,Queens,40.75844249,-73.73981017
Good,tilia americana,american linden,2368 BRUNER AVENUE,Bronx,40.8603783,-73.83330649
Good,platanus x acerifolia,london planetree,10542 FLATLANDS 5 STREET,Brooklyn,40.64267282,-73.88751892
Good,acer platanoides,norway maple,43-019 UTOPIA PARKWAY,Queens,40.75704176,-73.79279545
Good,platanus x acerifolia,london planetree,1167 DEAN STREET,Brooklyn,40.67698216,-73.95096838
Good,liquidambar styraciflua,sweetgum,1312 NOSTRAND AVENUE,Brooklyn,40.65481675,-73.95009059
Fair,fraxinus pennsylvanica,green ash,1040 ST JOHNS PLACE,Brooklyn,40.67117797,-73.9434248
Good,quercus alba,white oak,2964 BRIGHTON 12 STREET,Brooklyn,40.58068318,-73.9560088
Fair,quercus palustris,pin oak,133-017 SANFORD AVENUE,Queens,40.7560644,-73.83020193
Good,platanus x acerifolia,london planetree,158-004 86 STREET,Queens,40.65962744,-73.84679948
Good,styphnolobium japonicum,sophora,524 EAST 119 STREET,Manhattan,40.79620171,-73.93003548
Good,platanus x acerifolia,london planetree,151-001 84 STREET,Queens,40.66720691,-73.85046149
Good,pyrus calleryana,callery pear,3703 FOSTER AVENUE,Brooklyn,40.63909785,-73.94132642
Good,morus,mulberry,135-047 225 STREET,Queens,40.67483257,-73.7465402
Good,gleditsia triacanthos var. inermis,honeylocust,2065 GRAND CONCOURSE,Bronx,40.8530993,-73.90336395
Fair,tilia americana,american linden,59 NEWEL STREET,Brooklyn,40.7245784,-73.9473112
Good,acer platanoides,norway maple,2701 VOORHIES AVENUE,Brooklyn,40.58705847,-73.94214934
Fair,zelkova serrata,japanese zelkova,200 LIBERTY AVENUE,Brooklyn,40.67358338,-73.90235873
